FL_DATE,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DESTINATION,DEST_CITY_NAME,DEP_DELAY,ARR_DELAY,CANCELLED,AIR_TIME,DISTANCE,OCCUPANCY_RATE
2019-03-02,WN,N955WN,4591,14635,RSW,"Fort Myers, FL",11042,CLE,"Cleveland, OH",-8.0,-6.0,0.0,143.0,1025.0,0.97
2019-03-02,WN,N8686A,3231,14635,RSW,"Fort Myers, FL",11066,CMH,"Columbus, OH",1.0,5.0,0.0,135.0,930.0,0.55
2019-03-02,WN,N201LV,3383,14635,RSW,"Fort Myers, FL",11066,CMH,"Columbus, OH",0.0,4.0,0.0,132.0,930.0,0.91
2019-03-02,WN,N413WN,5498,14635,RSW,"Fort Myers, FL",11066,CMH,"Columbus, OH",11.0,14.0,0.0,136.0,930.0,0.67
2019-03-02,WN,N7832A,6933,14635,RSW,"Fort Myers, FL",11259,DAL,"Dallas, TX",0.0,-17.0,0.0,151.0,1005.0,0.62
2019-03-02,WN,N492WN,3960,14635,RSW,"Fort Myers, FL",11986,GRR,"Grand Rapids, MI",-2.0,-8.0,0.0,162.0,1147.0,0.49
2019-03-02,WN,N8634A,3826,14635,RSW,"Fort Myers, FL",12339,IND,"Indianapolis, IN",11.0,17.0,0.0,143.0,945.0,0.49
2019-03-02,WN,N210WN,4014,14635,RSW,"Fort Myers, FL",12339,IND,"Indianapolis, IN",-5.0,8.0,0.0,139.0,945.0,0.37
2019-03-02,WN,N232WN,4492,14635,RSW,"Fort Myers, FL",12339,IND,"Indianapolis, IN",-9.0,-16.0,0.0,135.0,945.0,0.31
2019-03-02,WN,N7889A,4899,14635,RSW,"Fort Myers, FL",12339,IND,"Indianapolis, IN",0.0,11.0,0.0,150.0,945.0,0.7
2019-03-02,WN,N937WN,2411,14635,RSW,"Fort Myers, FL",13198,MCI,"Kansas City, MO",-7.0,-5.0,0.0,180.0,1155.0,0.84
2019-03-02,WN,N782SA,2808,14635,RSW,"Fort Myers, FL",13232,MDW,"Chicago, IL",5.0,8.0,0.0,164.0,1105.0,0.8
2019-03-02,WN,N412WN,3714,14635,RSW,"Fort Myers, FL",13232,MDW,"Chicago, IL",-2.0,-4.0,0.0,164.0,1105.0,0.36
2019-03-02,WN,N8317M,4473,14635,RSW,"Fort Myers, FL",13232,MDW,"Chicago, IL",-2.0,11.0,0.0,173.0,1105.0,0.35
2019-03-02,WN,N223WN,4999,14635,RSW,"Fort Myers, FL",13232,MDW,"Chicago, IL",1.0,1.0,0.0,166.0,1105.0,0.67
2019-03-02,WN,N7845A,5459,14635,RSW,"Fort Myers, FL",13232,MDW,"Chicago, IL",-1.0,5.0,0.0,164.0,1105.0,0.3
2019-03-02,WN,N8614M,2435,14635,RSW,"Fort Myers, FL",13342,MKE,"Milwaukee, WI",-4.0,-6.0,0.0,173.0,1183.0,0.81
2019-03-02,WN,N7848A,2643,14635,RSW,"Fort Myers, FL",13342,MKE,"Milwaukee, WI",-3.0,-1.0,0.0,172.0,1183.0,0.94
2019-03-02,WN,N7734H,1541,14635,RSW,"Fort Myers, FL",14122,PIT,"Pittsburgh, PA",-2.0,1.0,0.0,134.0,966.0,0.88
2019-03-02,WN,N8574Z,4500,14635,RSW,"Fort Myers, FL",14122,PIT,"Pittsburgh, PA",-6.0,-17.0,0.0,126.0,966.0,0.88
2019-03-02,WN,N401WN,1718,14635,RSW,"Fort Myers, FL",14307,PVD,"Providence, RI",19.0,17.0,0.0,152.0,1200.0,0.42
2019-03-02,WN,N965WN,2961,14635,RSW,"Fort Myers, FL",14307,PVD,"Providence, RI",-5.0,-13.0,0.0,150.0,1200.0,0.38
2019-03-02,WN,N8730Q,4070,14635,RSW,"Fort Myers, FL",14576,ROC,"Rochester, NY",-1.0,11.0,0.0,166.0,1166.0,0.56
